,time_date,site,continent_id,buyer_country,buyer_region,buyer_city,distance,buyer_id,mobile,package,channel_id,buying_date,dealing_date,adults,children,room,destination_id,destination_type,dealing,regency_continent,regency_country,regency_market,cnt,regency_cluster
218134,5/26/2013 14:05,2,3,66,220,12724,2823.6162,2971,0,0,9,7/1/2013,7/15/2013,2,0,1,8854,1,0,2,2,198,402,74
258779,10/13/2014 11:24,22,2,0,317,56136,944.2263,2770,0,0,2,11/27/2014,11/30/2014,2,0,1,21222,1,0,1,3,152,73,74
55085,6/8/2014 20:17,34,3,205,155,8613,60.7335,7389,0,0,9,6/21/2014,6/22/2014,4,2,2,8854,1,1,1,2,198,402,74
84208,7/8/2014 16:29,24,2,66,462,52482,8640.2412,4311,0,0,9,9/5/2014,9/9/2014,2,0,1,21222,1,0,1,3,152,73,74
311521,12/20/2014 19:15,11,3,205,155,6802,54.1937,975,0,0,9,1/23/2015,1/25/2015,2,1,1,8854,1,0,1,2,198,402,74
342577,1/22/2014 10:27,8,4,77,977,53780,8249.3317,5240,0,0,5,2/21/2014,3/3/2014,2,0,1,8854,1,0,1,2,198,402,74
258263,7/10/2014 0:43,11,3,205,354,14100,8615.6097,705,0,0,9,8/4/2014,8/10/2014,2,1,1,21222,1,0,1,3,152,73,74
94087,7/22/2014 20:58,13,1,63,333,40637,5817.2634,5510,0,1,9,11/8/2014,11/23/2014,2,0,1,18160,1,0,1,4,146,1548,74
311523,12/20/2014 19:15,11,3,205,155,6802,54.1937,975,0,0,9,2/20/2015,2/22/2015,2,1,1,8854,1,0,1,2,198,402,74
283131,5/10/2014 6:43,34,3,205,354,50386,360.5481,465,0,1,5,6/28/2014,7/5/2014,2,0,1,25321,1,0,1,2,50,191,74
258267,7/10/2014 0:45,11,3,205,354,14100,8615.7599,705,0,0,9,8/4/2014,8/10/2014,2,1,1,21222,1,0,1,3,152,73,74
119889,7/23/2013 17:05,34,3,205,343,37594,295.0652,515,0,0,9,7/24/2013,7/25/2013,2,2,1,26000,1,0,1,2,198,1007,74
